relative_path,label,y,byte_hash,image_id,width,height,phash
brain_tumor_dataset/no/32 no.jpg,no,0,220e62fca790bcec10dd87a812af63ee18019ee2a711dd3101602743e556b07b,9220ddf9fcbdfe50047a49eb5b1a305f4b8be1fd34bebff120ed4f22fabb20b7,225,225,5648553822445784633
brain_tumor_dataset/no/33 no.jpg,no,0,97b98afb01833015fe92bdb99c1b3c3b4837b5d11337b53471fa691d0e0fc0b8,b2745f58e72fd5e4069aa2595a8ac8571833d2159b4e0266881e9768a16affce,236,213,3356983401157122601
brain_tumor_dataset/no/34 no.jpg,no,0,2db2426323e2d116ddfd79ca17da4f0c3861a527eba11414ce1ffe403b5810bd,90c4faafd845360cbfd09f19632147497b4b04463ee87ae31d991f20e6ca6ed0,150,198,5939174392151680116
brain_tumor_dataset/no/35 no.jpg,no,0,f305c895d86e72b70bdf6f2821e2a2b6aecfc7e68439909484bcf3f31309152b,314303a089cd03a3d3bebf93f68982465fc8a3fb2a866737d64d8f374ee90a3f,225,225,3623834449295126132
brain_tumor_dataset/no/36 no.jpg,no,0,29504dbbe42208cd4a37cf150c088b005656454befe4015caa1a94c2b2d7c0eb,422860947a7370673e9f10d40c9b27be86a1afd1bbf8382eafc38af114139d64,228,221,7357283424734490460
brain_tumor_dataset/no/37 no.jpg,no,0,e5c87d653a311de04785f51edbebb5cd06276ca38494f6a056e930f83015c46f,cce8e87b4fb59d8c79ae90de643a8203db5e0e0a73b4bb42effe9c2517f6fa01,225,225,4171657699945815604
brain_tumor_dataset/no/38 no.jpg,no,0,6b8f5ec5f96e63fb543ffb0fef90857004942af0c44839abf5b9ad297b161da1,0198278fba06be5fee3f79b739acc5269c3f1bd2c4ca7c999af3ec7845b1db18,201,251,2111926743563269316
brain_tumor_dataset/no/39 no.jpg,no,0,2d304e407ec526c967006fb16fb1c48c14e2971c54737bbc850d4b62ba3cbe85,2ed39cc6daa76227fef121e3687cd919552874410cad3b708ad363313a942626,225,225,7176013058495155764
brain_tumor_dataset/no/4 no.jpg,no,0,cca6c02571d544a64a480fb01cb9d45a2b5d0211e201f929844745afa10d658a,6d4e0c545f93c3ab169b47a935b7f21690246488827c8cdb3c023e97bd52333b,201,250,5875865726232587520
brain_tumor_dataset/no/40 no.jpg,no,0,3b098b0d2bee33d7fc3864ad7367a71538983f2b06eb83a23d72fa49a7ff5d3c,09393b70fcb61a1299bad46fd256c97f665e2830c41f528825d78823aa77afcb,225,225,3570075288328874864
brain_tumor_dataset/no/41 no.jpg,no,0,3b098b0d2bee33d7fc3864ad7367a71538983f2b06eb83a23d72fa49a7ff5d3c,09393b70fcb61a1299bad46fd256c97f665e2830c41f528825d78823aa77afcb,225,225,3570075288328874864
brain_tumor_dataset/no/42 no.jpg,no,0,c8280173142dbe052a428603990c3124edc9700d71fc33ed07975f164e07db50,11fcbc10ab7e3890752d6a32b8de515b57952b63cccbf6ada00c3ae2da823e58,300,168,3592084985383443244
brain_tumor_dataset/no/43 no.jpg,no,0,ab2d50ea056994dda708a30bdd4b295da8c91653da936dcaa5474f5a077a5ab1,fe24370b7fbad1d4671832b0132f589ae94191d04a324806374726cbb9553a9a,259,194,933209283540423545
brain_tumor_dataset/no/44no.jpg,no,0,d65b09e2ad414b8c2489207954eaf7887b054f6640ce8d03ad3d83bbdbaa3304,24d646d7d0db7f6ed4fd2ce895d86acd1c879548873e89a83d72b7a148e2a8fb,441,442,4163419591608838260
brain_tumor_dataset/no/45 no.jpg,no,0,1baef946656a32a680aea48c0b6536e74e5f9cc5bb69ceeb549b7247dea39184,2696e7062b07582af40cc808c1d7ec35909b89548d5f99f2ed8d7f97e45374f9,356,474,1500484938996002661
brain_tumor_dataset/no/46 no.jpg,no,0,cadc69402b71fdafac567216ada1281c48858cc5bde7b3b941fdf9c6bca09202,1eb7cf5942ecb82b5ff0b4f2d8120376e85d5638ca2d3669a7fd6395c1fe2555,380,530,8305615208806509589
brain_tumor_dataset/no/47 no.jpg,no,0,5cf2ebb7d8f93d7919b38b2e52a8d08a8843fbc3a019e10dda1e5fd24d2b6c9f,3a31dc475b21cd0f059f05699ddad612215751f0755ee0317c78677a6f658542,225,225,6419358843255074564
brain_tumor_dataset/no/48 no.jpeg,no,0,c1e6e2c30cf42eac528cbe34047c9d94568bedabf728d6eebdcaab68a6aeeee0,a939efe53e12508636806a0548de0774a363805f3c1c1cf6f57182fb15f6213d,630,630,3257000639717060449
brain_tumor_dataset/no/49 no.jpg,no,0,a638ba6f81ce54a12698eeb5abda3ad60665ecb817d3d94ebeb5ffc73aff5a38,83aaaf100259fad75d3cae0d1f0acedff5a3718d7d1db32062bd1cd3aac86688,225,225,5351160978979322161
brain_tumor_dataset/no/5 no.jpg,no,0,e89b26e1115b48189869aaf3a7d3272fc90268ac400a2b36728cb106d9867858,8c27b2140d87c2f4ca36dc1d15f414c3851f55819fddcea3b7882df3151ac5a6,225,225,2024074545609784420
brain_tumor_dataset/no/50 no.jpg,no,0,e068f498bea26909af4a8a27973cbcf12680252b353288f2f17f92e6bea663a8,3de32c152527af18060fc9a0eb01b0ede6025f1994ad3586e96c4a47c3e23898,227,222,3803385196324924240
brain_tumor_dataset/no/6 no.jpg,no,0,9519716335d92af19b045426a223124da676fdab837698ebd2aa0026c647620d,7f2c92f25bb20cc189aa475c0e8c21ed0b70b538a33920e2fd6a3276522406f3,192,192,3707404583187450996
brain_tumor_dataset/no/7 no.jpg,no,0,4cfec6cb822f28e3e61f07804637656fa1545a67e0c6e54f38cfea363c33e35c,c30f889c48513fe695a6509aa86ffa7952d40b96e13c1e84b319cf6914823e9a,428,417,3803948146274151248
brain_tumor_dataset/no/8 no.jpg,no,0,6b8f5ec5f96e63fb543ffb0fef90857004942af0c44839abf5b9ad297b161da1,0198278fba06be5fee3f79b739acc5269c3f1bd2c4ca7c999af3ec7845b1db18,201,251,2111926743563269316
brain_tumor_dataset/no/9 no.jpg,no,0,3c3bdbcf86cd640b0efb1f4a95726f65664a2b760cf385302947c2549ac78eba,550d0cb250962b4ef1a0cbf8dade59019a8a5153041d49dbfea6410b89f2de79,173,201,7784314378106331457
brain_tumor_dataset/no/N1.JPG,no,0,1a7acec452891038ede718862dddf209915a51deb0ac3718948c235519adc94b,1af16b025f254c861448bec4d04652b8f81a6850788d507160404fe4f14a5c4f,276,338,4132732122771769045
brain_tumor_dataset/no/N11.jpg,no,0,bbff47f934ea46331f73aff755f7f95f2092f7752e12073be33506a0401194f2,f66535630af6cfdeb2272dbb4547c6e058e4b59ae445ebe1535c82e19687253c,630,614,4381742189562784785
brain_tumor_dataset/no/N15.jpg,no,0,c9d574a467241cb359d2359735e7e00ab4b44579d46454b73c6373ca6f5f1777,55391a8799e783597b1bd4c53b3b72c6ad20f1ef5fb2634151f26d218bdc1dab,225,225,1287496844773833569
brain_tumor_dataset/no/N16.jpg,no,0,bfcce139b2b992882ed67161669f89684eb87db34f22faf7ef5cd54f7f45b38f,9ca4ac0807a3bbd0826a06396a8c0ecbfa9bbb6489ff43bed97a42284eb4478c,212,238,6577024824305857744
brain_tumor_dataset/no/N17.jpg,no,0,fab9adae37e0a120ed7a5bab511576e97182c53a7b76a5fa71512eb2fecd6104,6849ea8acf8659b60e837c2d45f4431f833dbf95efa93a350942018e926c3133,350,393,6577024824305857744
brain_tumor_dataset/no/N19.JPG,no,0,c9687992fb9b08ab473b261f402dcf5c196db74f8f5b0a68a8dde724e6a58280,987c812a794593c0a8b58f1eed8aac0cf015230fc3a1640b82cf95d91a5609c5,230,282,3568632779551701828
brain_tumor_dataset/no/N2.JPG,no,0,0a36fbaeb53f88ba0fb16c0a07e4a0432dcf9915cf6ceee33a7849f545775d0f,ada848fe55c3b27559012775de676961b40d7a32368c9c8a5919e5d6e385a557,208,248,6672969257576835908
brain_tumor_dataset/no/N20.JPG,no,0,094d704894ade3c741e4468742b44b7e404cb3896f3735a3dce775b2ed2f1a51,a698668dc2c44bfbf5aaa6b1cf009d43cba82471119a2624f573d6a2a0ae394a,227,262,1771695166738558785
brain_tumor_dataset/no/N21.jpg,no,0,e34b6fd8d386909b5697d82c506f20094d1fdbde49009baf7dfb2009fa43d07e,9fed845a58f23ea75c16c2f89d701ca68c7780565f94dd913a3fc2fd8e01b9cd,1024,1024,2167961619699284273
brain_tumor_dataset/no/N22.JPG,no,0,93572395500b08348a4ccd6330704a4c37010f0217e2597535ac5e01a5ed20ab,683f3845f5e1a3e4b1f8fead91bc8f1f840f7e6724d34d9ea393e0b71d86d220,276,326,6230247795994069269
brain_tumor_dataset/no/N26.JPG,no,0,219987922e3461efa4e716cb40cd46279781f34e3458f1290c9878f8b06acb14,9125bf84b896351de12f641319c42697532aa1a486a398d6e9401acab313dd11,210,264,7248004974157392149
brain_tumor_dataset/no/N3.jpg,no,0,6a028c0cf05b9ab47b44da36f2e934eaf2810f6c5fd00f98505a5925075d0256,bdf2d8df20ce58b5dea1b6ce1ff839246c08bafd79dfd004f771582588818afc,220,275,2111926743563269316
brain_tumor_dataset/no/N5.jpg,no,0,cca6c02571d544a64a480fb01cb9d45a2b5d0211e201f929844745afa10d658a,6d4e0c545f93c3ab169b47a935b7f21690246488827c8cdb3c023e97bd52333b,201,250,5875865726232587520
brain_tumor_dataset/no/N6.jpg,no,0,0e26eb1cc143b940fe223f1023625355992ee21e77e3ff1ee4cfd5764198989f,68919dfe7ceaa406c0bfc2169b9c4dde4bbdc16924bac60dff531798a2e5b80c,196,257,2710732648219228948
brain_tumor_dataset/no/No11.jpg,no,0,96eb6967090f99bcc7806d2bf9f194abcd66c9de089a1f642c1939cbc11e727b,b139e0fcae28ad639ed2540074d7cf1ed36ef82ad840c1cf598128f4f55b6f94,630,630,7176015257451302452
brain_tumor_dataset/no/No12.jpg,no,0,cc897565e991fd55c19b65310168a2b24bc37201e27634528d424e7b086edd70,d5cbbe1256c58cf25d79245cce21faee2e7e67d9c063c3cda3003e748d058873,472,537,134578979778074629
brain_tumor_dataset/no/No13.jpg,no,0,c86180edf0963ac9a61e0de2a012edc3f91cb13a123cf67a1fc74ac09646409c,eab1eeda798eb5191c4547fb06ccdb98a91b4b4536417d5aa75529cbd2897cad,442,442,3221859916815683129
brain_tumor_dataset/no/No14.jpg,no,0,d7c5a293e3a869733e2f0ed4ec4e1afe1426444e61303c17e07141b7c5932f21,6bad7d1585147284f24fc35d752cd3f50dce273de2c4693881704b962524f627,339,340,9206049806795868713
brain_tumor_dataset/no/No15.jpg,no,0,9c54a8ba366d8a9881e28dea8f4cc3f8e92fc74b2add2e6b7d7dfcacdee09bb0,c8e9a8b3f39810f2735091058c0e39a02ca5370c60e86b71770288c7185b3fbc,393,400,2061262279776299265
brain_tumor_dataset/no/No16.jpg,no,0,2bf7be1a79c255eb26e8cf486567291624472e945d8ec13dbc66cd7a1da68b0c,8c3352a9324857878735861a8276959d46f0c050e75eee8db1e0da7e383ca9a6,300,200,5541199157283982366
brain_tumor_dataset/no/No17.jpg,no,0,9c54a8ba366d8a9881e28dea8f4cc3f8e92fc74b2add2e6b7d7dfcacdee09bb0,c8e9a8b3f39810f2735091058c0e39a02ca5370c60e86b71770288c7185b3fbc,393,400,2061262279776299265
brain_tumor_dataset/no/No18.jpg,no,0,d8534287064d81600cc5db54606ecd3203df242f66abc35ab251bf7e59e84ccb,6af768514c2ab6b4609d28567d61ed8a7c5ffc020422713a7be95efdb8512f6a,442,454,5054848123266558433
brain_tumor_dataset/no/No19.jpg,no,0,5e984e1fb53f99176d490aa0122a7ebe4f5421c3f1dfe2d0e865efe621b67884,9fdd39966afd42eb860930159d7ccdc00e55ed54540478ff367f07f9f6eedbc4,680,680,8127679765702126388
brain_tumor_dataset/no/No20.jpg,no,0,81f4b76bdbd241bab55c0427ad2dfcf4a54343866536cbb88657d05d2c1b5e8d,91ec708e6345187e7e6cb79d8f506804299539768c93c40dad9b190d53558a60,468,444,539877243454380577
brain_tumor_dataset/no/No21.jpg,no,0,4e5a4979e0026611c370d05a181fde37f9f74ebb5e4669b1dc7b5f015292ffe9,504cf37dce31c02e1c6b1e99733a67d3f08d3c9483d98f79165d2cee46add347,442,442,4073052684915797537
brain_tumor_dataset/no/No22.jpg,no,0,3ceab6190d93957c6ace30db10bece675890215a08249cceaf72a3eddda4cc23,84496f2b562de7b5ffab87ee4e24c778c46e69df2c6a934aa6b4af6eed65575e,359,449,2110800843656557764
brain_tumor_dataset/no/no 1.jpg,no,0,a638ba6f81ce54a12698eeb5abda3ad60665ecb817d3d94ebeb5ffc73aff5a38,83aaaf100259fad75d3cae0d1f0acedff5a3718d7d1db32062bd1cd3aac86688,225,225,5351160978979322161
brain_tumor_dataset/no/no 10.jpg,no,0,85d9aedf6609d558555496b9e0e95bfac819088a73e752f5935a4b1b14eaafa2,79bff1fc200032db892a2bd9343a55322495903f39d07ab4d25df451ec37703e,750,750,914703403338046264
brain_tumor_dataset/no/no 100.jpg,no,0,971b1ba3120ce3115241c128d3cdcbc67ca6f33dfed050c4d03f3fe3173796ac,1902269e7e57107f2635fce6eb02fb789968bc5c23093a302b4b7ad9db218eb4,225,225,9098199849345366128
brain_tumor_dataset/no/no 2.jpg,no,0,0975f3c288be418a9b229db3fb27be55373bc0538c93672a9bd97ad23bd352ed,96dc1ea3df3a481c9959598a38a12ce3ad1fe7159bb523a0c3cc7df71d2539fb,232,217,4842678512563997116
brain_tumor_dataset/no/no 3.jpg,no,0,7bd4d5d58606af2e040836ab4dd73e35130ec425c538d619dc514f5494d84c39,69f020ad229e313caa6d2ba04285a8fd070c7bd45d1759c9ad22a89902c98500,225,225,6562365620389625460
brain_tumor_dataset/no/no 4.jpg,no,0,6a028c0cf05b9ab47b44da36f2e934eaf2810f6c5fd00f98505a5925075d0256,bdf2d8df20ce58b5dea1b6ce1ff839246c08bafd79dfd004f771582588818afc,220,275,2111926743563269316
brain_tumor_dataset/no/no 5.jpeg,no,0,7f77955933dac2ac225f48a46c956d42c2cd8336e33e0afc88c798a3ab17bf72,c56cfebd3456ee28a9a5ab7136fff442f274e436ec1fc606c81e3d1fefaea24e,442,442,9098199832165496948
brain_tumor_dataset/no/no 6.jpg,no,0,f215d878500f122adf52a6e15d62144cd3d433208061903edfffa64fc6cd71bc,c538789cd768bbf8bdafd3a4a130e463f0884af9e619531d829e4187d30b08b2,214,236,8510212282065095125
brain_tumor_dataset/no/no 7.jpeg,no,0,96eb6967090f99bcc7806d2bf9f194abcd66c9de089a1f642c1939cbc11e727b,b139e0fcae28ad639ed2540074d7cf1ed36ef82ad840c1cf598128f4f55b6f94,630,630,7176015257451302452
brain_tumor_dataset/no/no 8.jpg,no,0,7e606d5851ec154ea6758b051d8371f5ee0cfa0db8da2e3d6bad68713e480421,cdb365489d1dbf33a11d323602812a70572e4096b4e4ab466558b6f2828b2f05,642,361,3592084985383443244
brain_tumor_dataset/no/no 89.jpg,no,0,0e2f7a4ea3e0124e19315ba6379746b9209573dc78f4ed28e07451c4ec1e34d7,23ebabab03840d54e05602665447bd00f9e794ee4a5b913f3f0422e702927258,504,540,7373071827617135412
brain_tumor_dataset/no/no 9.png,no,0,744e69af8593f89a1e772aff23b8b52beef043f419337b5514ad90f4e0af748a,fe2f2e15fbef31937a7350eda86d06b7efe35058104c8f17688f0506f83bb4ca,1920,1080,8693752568936269433
brain_tumor_dataset/no/no 90.jpg,no,0,1db0e714ae03db2fa0a7da503b02492ab85607715f4f221772cec5ebe1a0257b,8ae4ddcf7ac3dcf56f0398a821dfaabe2667af908eb3b5522759b707cf3bbecd,420,280,5544817443069631289
brain_tumor_dataset/no/no 91.jpeg,no,0,958591875ea6906d6105e0826ca15ab9298c090e8649e6d9ea23afbc7724fb01,4b28a53817d0da69153d71be73ea818aaa6ac48f65a8dd2a5d84a6225fa0f94a,400,442,915115308421380965
brain_tumor_dataset/no/no 92.jpg,no,0,0223943a2b28b7ae5e7836f590dc9d3576b2b80202392a3692f2b4df830ab50e,af848889102601facd1b908c76d3cbf1ac5bb5681300d7e5a97893261e5d4a11,206,244,4371606203272078164
brain_tumor_dataset/no/no 923.jpg,no,0,760138854027be6db66e4b16d4140847b3ab2455bab65ffd8cd16d1a57b8f1ec,7dc5473174aec3ca64789d8d27423520862e2e51a761cb1afd593b6971209437,225,225,8773699867272490788
brain_tumor_dataset/no/no 94.jpg,no,0,e4d9d83f89339366f4f77137d440a4c3b62e799a482ebfa6c79c9209d47ffdc9,34eeb369fff52f1ad84bba5d77da167a26ca5249293e3910bb04e8af2bf2ba25,630,630,5351231347706722609
brain_tumor_dataset/no/no 95.jpg,no,0,f5c726bbddf4d79e8bb409819967264cd5b591e23f83d1ec78e3c847febda891,bdce5afee31c171c25454a01878f49a2bb1d2887df3eee350399b383513f8cae,275,301,5926245620724280641
brain_tumor_dataset/no/no 96.jpg,no,0,10546b7ed6867429b6685d4d246dadf04b0f66f900ed197a68bd9f8a29e40ce3,81fe68a9e2fc315e9710282f606a670778130998e1390a3144d9bf5b31bd4065,550,664,957891829971232624
brain_tumor_dataset/no/no 97.jpg,no,0,f1db26614acae6725b58f32253c4197577bdc8a980e422cb879f9d88d96ee2c0,b12ea55157f26c262502f57f8eb5ab13ef9aeac065eed940af6c87d362ad9300,442,442,8689239850524294756
brain_tumor_dataset/no/no 98.jpg,no,0,9f1843e9d1a4ed476714ed37cb22b406993a1e05b6a0869f052d46ad1e287836,d2c5fa3041f75490b0e39bc99aa8a0dcae1ad09935b20758fe4d73ae9e58581f,728,725,6450955211574492257
brain_tumor_dataset/no/no 99.jpg,no,0,79d7586597473b154fa184970a2b90b41dc65e931356111c1a57620cc0ebccb4,3652939af3cbf768ff328bff19516311327782dd22d50300000e22ae6165926a,409,442,5124905264305744148
brain_tumor_dataset/no/no.jpg,no,0,bec663631a5dca91b2d77c983e42d88d431441669218d49b1c6f09c4bf8a2a82,03d5e5c31d9cb551d8e72ad20ee33ef851d7dc57431e19739286f84f8ee5aae7,512,512,8773682275086446388
brain_tumor_dataset/yes/Y1.jpg,yes,1,27a43972bf6b6bb00fd071791c3925f422295c16f881ef8c395a9534f12cf0af,174f6b1339f3388fd728daf11bfb700a914610a67bc43498ebd6e30ba4066671,180,218,1505912650946460721
brain_tumor_dataset/yes/Y10.jpg,yes,1,3c09eb1b7864426759bb99fa4e4b3acd0973871cb67a9c85066431091aafad74,d6c7145cffa1d9b450905160ed7b9b4579c864eb77395fc69813e5e6b74e495d,319,360,4735539395466180948
brain_tumor_dataset/yes/Y100.JPG,yes,1,00aa87e56bf59778ed1756c3cdf29d5c44b91252c278e85057b6112b8b849089,bd342fb9cbae0aaced0b790162fd2173c66f2b4d4548d7c8f56c07a655cdfa2f,287,348,3678902802311826196
brain_tumor_dataset/yes/Y101.jpg,yes,1,91d3a5eb7904a8699a5e2c6cf54660dd777946a00629e7f216d16d18e652e927,6457a0d2fb6d07c823c7897683790dadcd05fe0f3d6b5794eaec0db3614d25fa,300,336,7407033370748467984
brain_tumor_dataset/yes/Y102.jpg,yes,1,7c56acddf6dd78be158f2995afd04f9365b4fee88b07cd8bc37011e329f839ea,14bf5c21f2e2bd3d8df1cd9392c49d770ff1b9de30702ea7ae7aa51095989b2b,587,630,6563516443142215940
brain_tumor_dataset/yes/Y103.jpg,yes,1,f010698cbecf8c8540f3e633bdac03b51f5b12bd06f1296c372fba7aa19b96c8,5a9dbf470b9fee34a2f5eaa783b6e548ace139ae5202b6c900100a5e049baba1,825,993,534553401177475412
brain_tumor_dataset/yes/Y104.jpg,yes,1,ae6296325b0ca772eceef61bb217df54df4d8c060e9f14575b38530c62856e5d,b2947db09a9f0865c5bba5132065f048a9c10bcff08788387e778aa8d869cba6,700,890,4177487968850744260
brain_tumor_dataset/yes/Y105.jpg,yes,1,e3cf525b6b42cbe32089de242ab5ea853e0f39daa747e86673ca1f6e78dc0069,8dc2f105b420d03e79f318c43a9bc8b63105f57cd452b4de3ab53998ee2c0013,205,246,4151796293460110404
brain_tumor_dataset/yes/Y106.jpg,yes,1,fa097654f17421e0fb99da75a11e5aadef93f67642bce6e9284224b7476e0576,e65196e57bfd4c7219cf47b8ad7d499c70a0d8e86ea443944e6faa6447e74e75,200,253,5084030077260028225
brain_tumor_dataset/yes/Y107.jpg,yes,1,dcc31f03c9b97631576f94a02a9783643ab2a29e3e72956dbf308cbfa4bfaa4b,ec29cdff7047d7ea62b34c125bfb4d183e75d1102f79ea2672f3383533776599,512,512,7820328740629122657
brain_tumor_dataset/yes/Y108.jpg,yes,1,a52bf95251106e5164b9ff00ac98e65cd23d6416ae2d9253976adb4469dc13d3,e30545c15b64efcf60c0cd2b7d635d3af6d842df4753ebffd331d1363ba601ea,1059,1200,8701873251009903380
brain_tumor_dataset/yes/Y109.JPG,yes,1,0f7b997ab55aac23f85acc19a7def64bd62605c153f7b60e79f3610dc39c1a25,ebf52743e53a6c0f3d9648a0eaa600ee8b1afb0c758dfa83a49b45ad8852933d,258,279,5903335070558659880
brain_tumor_dataset/yes/Y11.jpg,yes,1,58b1e2bdfe9808ed68e5ef12260dd6e76a4f9424a75ba9060cfc32ccd1de0d48,672fe2915aed29f9bab68d43b1e27356953639bb442aec4aa5abf3c61dd3ada2,400,369,1277903513099990129
brain_tumor_dataset/yes/Y111.JPG,yes,1,7d3a903c571970fb12d8d988e4aa4c45aa36c56d02f7497f006089f750f9549e,dcc6ad68dcf64338d943273c43b66e9dc03f5aac2a7d5dd1e2dc57ab0cabf219,272,324,8592695964014311204
brain_tumor_dataset/yes/Y112.JPG,yes,1,e720f125defd3a59d3755d9af53255792a745675ac26ae8fff1ef8495c6e80f3,8a7b8d8d0ce44d78c292dab54e953a2abb51a20a1e08ca691cea5bc3725bd729,310,366,4376631853431390593
